Epoch,Accuracy,Precision,Recall,F1
1,0.8902,0.9999999999888889,0.9999999999888889,0.9999999999388889
2,0.9339,0.99999999999,0.99999999999,0.99999999994
3,0.9554,0.99999999999,0.99999999999,0.99999999994
4,0.9647,0.99999999999,0.99999999999,0.99999999994
5,0.9692,0.99999999999,0.99999999999,0.99999999994
6,0.9739,0.99999999999,0.99999999999,0.99999999994
7,0.972,0.99999999999,0.99999999999,0.99999999994
8,0.9766,0.99999999999,0.99999999999,0.99999999994
9,0.9775,0.99999999999,0.99999999999,0.99999999994
10,0.9787,0.99999999999,0.99999999999,0.99999999994
